Vendor,Model,Version,Date,Checksum,Description,Download
D-Link(KR),DIR-868LW,DIR-868LW v2.00KR ,2015-09-16,,* 새로운 GUI 방식의 펌웨어 v2.00KR 정식버전입니다.--- 업데이트 내용 ---* 한글 오타 수정.(수정이 안된것처럼 보이는 분들은 F5 새로고침을 하면 정상적으로 표시됩니다.)* QoS 설정관련 오류 수정.* 속도 저하 증상 발생 시 초기화 또는 QoS 대역폭 수정 후 사용 권장.* SSDP 관련 보안 강화.* CAPCHA 기본 동작.,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR.bin
D-Link(KR),DIR-868L,DIR868LA1_FW108middle ,2023-07-24,,2.00 버전 펌웨어를 업데이트하기 위한 중간 펌웨어입니다.2.00KR 매뉴얼을 통한 업데이트 시 해당 펌웨어를 반드시 사용하시길 바랍니다.,https://mydlink.co.kr/2008/data/DIR868LA1_FW108middle.bin
D-Link(KR),DIR-868L,v2.00KR-K13 ,2020-08-27,,--업데이트 내용--* 자동 재부팅 기능 추가* 무선 보안모드 암호화 방식 선택 메뉴 추가,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K13.bin
D-Link(KR),DIR-868L,v2.00KR-K12 ,2020-08-12,,--업데이트 내용--* DDNS 서비스 타입 2종 추가- NO-IP DNS- DuckDNS,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K12.bin
D-Link(KR),DIR-868L,v2.00KR-K11 ,2020-06-08,,--업데이트 내용--* Mydlink Agent 업그레이드* VPN(PPTP) 서버 설정 시 2개 이상의 클라이언트가 동시 접속이 안되었던 부분 수정* 한글 번역 오류 수정,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K11.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K10 ,2019-05-31,,--업데이트 내용--* WoL 기능 사용 시 일정 시간 이후 클라이언트 리스트 필드 삭제되는 버그 수정,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K10.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K09 ,2018-09-05,,--업데이트 내용--* WPA2 KRACK 패치 드라이버 적용* DNSMasq 2.78 업그레이드* 고정 DHCP 할당 기능 추가* Wake On LAN 기능 추가* 리피터 모드에서 멀티캐스트 스트림 사용 가능* 리피터 모드에서 메인 AP의 보안 모드에 따른 호환성 강화* L2TP 서버 설정 후 재부팅 시 클라이언트가 자동으로 연결되지 않는 버그 수정* 기타 보안 강화,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K09.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K08 ,2017-08-30,,"--업데이트 내용--* VPN L2TP 클라이언트 설정 시,서버주소에 도메인 입력 가능하도록 변경.* VPN L2TP 서버 도메인 주소 자릿 수 변경. (최대 128자)",https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K08.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K07 ,2016-11-14,,--업데이트 내용--* L2PT VPN 서버 추가,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K07.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K06 ,2016-01-07,,"--업데이트 내용--* VPN 클라이언트 설정 시,서버주소에 도메인 입력 가능하도록 변경.* VPN 서버 도메인 주소 자릿 수 변경. (최대 128자)",https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K06.bin
